NOC_CODE,OASIS_LABEL,TEER,Weight
6003,Accommodation service managers,0,0.2
6003,Restaurant and food service managers,0,0.2
6004,Managers in customer and personal services,0,0.2
6201,Retail sales supervisors,2,0.4
6202,"Accommodation, travel, tourism and related services supervisors",2,0.4
6202,Cleaning supervisors,2,0.4
6202,Customer service representatives supervisors (except financial services),2,0.4
6202,Customer service representatives supervisors - financial services,2,0.4
6202,Executive housekeepers,2,0.4
6202,Food service supervisors,2,0.4
6202,Other services supervisors,2,0.4
6210,Retail and wholesale buyers,2,0.4
6210,Technical sales specialists - wholesale trade,2,0.4
6220,Embalmers,2,0.4
6220,Funeral directors,2,0.4
6220,Head Chefs,2,0.4
6220,Jewellers and related workers,2,0.4
6220,Sous-Chefs,2,0.4
6220,Specialist chefs,2,0.4
6220,Watch repairers,2,0.4
6310,Financial sales representatives,3,0.6
6310,Insurance agents and brokers,3,0.6
6310,Real estate agents and salespersons,3,0.6
6320,Bakers,3,0.6
6320,Butchers - retail and wholesale,3,0.6
6320,Cooks,3,0.6
6321,Barbers,3,0.6
6321,Cosmeticians,3,0.6
6321,Electrologists,3,0.6
6321,Estheticians,3,0.6
6321,Hair replacement technicians (non-medical),3,0.6
6321,Hairstylists,3,0.6
6321,Manicurists and pedicurist,3,0.6
6321,Scalp treatment specialists,3,0.6
6321,Tattoo artists,3,0.6
6322,Shoe repairers,3,0.6
6322,Shoemakers,3,0.6
6322,Upholsterers,3,0.6
6410,Retail salespersons,4,0.8
6410,Sales and account representatives - wholesale trade (non-technical),4,0.8
6410,Visual merchandisers,4,0.8
6420,Furriers,4,0.8
6420,Image consultants,4,0.8
6420,Milliners,4,0.8
6420,"Tailors, Dressmakers and Alterationists",4,0.8
6420,Wedding consultants,4,0.8
6420,Weight loss consultants,4,0.8
6430,Bartenders,4,0.8
6430,Maîtres d'hôtel and hosts/hostesses,4,0.8
6431,Airline cargo and freight agents,4,0.8
6431,"Airline passenger, baggage and ticket agents",4,0.8
6431,Airline reservation agents,4,0.8
6431,Cargo service representatives (except airline),4,0.8
6431,Flight attendants,4,0.8
6431,"Flight pursers, customer service directors and passenger service directors",4,0.8
6431,Hotel front desk clerks,4,0.8
6431,Ship pursers,4,0.8
6431,Ticket agents and related clerks (except airline),4,0.8
6431,Travel counsellors,4,0.8
6432,Casino workers,4,0.8
6432,Outdoor sport and recreational guides,4,0.8
6432,Tour guides,4,0.8
6432,Travel guides,4,0.8
6440,Customer services representatives - financial institutions,4,0.8
6440,Other customer and information services representatives,4,0.8
6440,Postal services representatives,4,0.8
6441,Armoured car guards,4,0.8
6441,Corporate security officers,4,0.8
6441,Private investigators,4,0.8
6441,Retail loss prevention officers,4,0.8
6441,Security guards,4,0.8
6510,Automotive and watercraft service station attendants,5,0.95
6510,Cashiers,5,0.95
6510,Demonstrators and direct distributors,5,0.95
6510,Door-to-door salespersons and street vendors,5,0.95
6510,"Store shelf stockers, clerks and order fillers",5,0.95
6510,Telephone solicitors and telemarketers,5,0.95
6520,Dishwashers,5,0.95
6520,Food and beverage servers,5,0.95
6520,Food counter attendants and food preparers,5,0.95
6520,Food service helpers,5,0.95
6520,Kitchen helpers,5,0.95
6520,Meat cutters and fishmongers - retail and wholesale,5,0.95
6521,Amusement attraction operators,5,0.95
6521,"Attendants in amusement, recreation and sport",5,0.95
6521,Facilities workers,5,0.95
6521,Guest service attendants and baggage porters,5,0.95
6521,Ship and train service attendants,5,0.95
6522,Other support occupations in personal services,5,0.95
6522,Pet groomers and animal care workers,5,0.95
6531,Carpet and upholstery cleaners,5,0.95
6531,Chimney cleaners and sandblasters,5,0.95
6531,Furnace and ventilation system cleaners,5,0.95
6531,Housekeepers,5,0.95
6531,"Janitors, caretakers and heavy-duty cleaners",5,0.95
6531,Light duty cleaners,5,0.95
6531,Vehicle cleaners,5,0.95
6531,Window cleaners,5,0.95
6532,Beauty salon attendants,5,0.95
6532,Door attendants,5,0.95
6532,Dry cleaning and laundry inspectors and assemblers,5,0.95
6532,Dry cleaning and laundry machine operators,5,0.95
6532,Funeral home attendants,5,0.95
6532,"Ironing, pressing and finishing workers",5,0.95
6532,Laundromat attendants,5,0.95
6532,Other elemental service workers,5,0.95
6532,Parking lot attendants and car jockeys,5,0.95
6532,Ticket takers and ushers,5,0.95
7001,Construction managers,0,0.2
7001,Facility operation managers,0,0.2
7001,Home building and renovation managers,0,0.2
7001,Maintenance managers,0,0.2
7002,Postal and courier services managers,0,0.2
7002,"Transportation managers, freight traffic",0,0.2
7002,"Transportation managers, operations",0,0.2
7201,"Contractors and supervisors, carpentry trades",2,0.4
7201,"Contractors and supervisors, electrical trades and telecommunications occupations",2,0.4
7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",2,0.4
7201,"Contractors and supervisors, other construction trades, installers, repairers and servicers",2,0.4
7201,"Contractors and supervisors, pipefitting trades",2,0.4
7202,"Contractors and supervisors, heavy equipment operator crews",2,0.4
7202,"Contractors and supervisors, mechanic trades",2,0.4
7202,"Supervisors, mail and message distribution occupations",2,0.4
7202,"Supervisors, motor transport and other ground transit operators",2,0.4
7202,"Supervisors, printing and related occupations",2,0.4
7202,"Supervisors, railway transport operations",2,0.4
7210,Boilermakers,2,0.4
7210,Ironworkers,2,0.4
7210,Machining and tooling inspectors,2,0.4
7210,Machinists,2,0.4
7210,Metal mould makers and patternmakers,2,0.4
7210,Sheet metal workers,2,0.4
7210,Structural metal and platework fabricators and fitters,2,0.4
7210,Tool and die makers,2,0.4
7210,Welders,2,0.4
7210,"Welding, brazing and soldering machine  operators",2,0.4
7220,Electrical power line and cable workers,2,0.4
7220,Electricians (except industrial and power system),2,0.4
7220,Industrial electricians,2,0.4
7220,Power system electricians,2,0.4
7220,Switch network installers and repairers,2,0.4
7220,Telecommunications equipment technicians,2,0.4
7220,Telecommunications line and cable installers and repairers,2,0.4
7220,Telecommunications service testers,2,0.4
7220,Telephone installers and repairers,2,0.4
7220,Television cable service technicians,2,0.4
7230,Gas fitters,2,0.4
7230,Plumbers,2,0.4
7230,Sprinkler system installers,2,0.4
7230,Steamfitters and pipefitters,2,0.4
7231,Cabinetmakers,2,0.4
7231,Carpenters,2,0.4
7232,Bricklayers,2,0.4
7232,Insulators,2,0.4
7240,Aircraft inspectors,2,0.4
7240,Aircraft mechanics,2,0.4
7240,Construction millwrights and industrial mechanics,2,0.4
7240,Elevator constructors and mechanics,2,0.4
7240,"Heating, refrigeration and air conditioning mechanics",2,0.4
7240,Heavy-duty equipment mechanics,2,0.4
7240,Machine fitters,2,0.4
7240,Railway carmen/women,2,0.4
7240,Textile machinery mechanics and repairers,2,0.4
7241,"Auto body collision, refinishing and glass technicians and damage repair estimators",2,0.4
7241,Automotive service technicians,2,0.4
7241,"Mechanical repairers, motor vehicle manufacturing",2,0.4
7241,Transport truck and trailer mechanics,2,0.4
7242,Electrical mechanics,2,0.4
7242,Major appliance repairers/technicians,2,0.4
7242,"Motorcycle, all-terrain vehicle and other related mechanics",2,0.4
7242,Oil and solid fuel heating mechanics,2,0.4
7242,Other small engine and small equipment repairers,2,0.4
7242,Recreation vehicle technicians,2,0.4
7242,Small electrical appliance servicers and repairers,2,0.4
7250,Crane operators,2,0.4
7250,Water well drillers,2,0.4
7260,Air pilots,2,0.4
7260,Air traffic controllers,2,0.4
7260,"Deck officers, water transport",2,0.4
7260,"Engineer officers, water transport",2,0.4
7260,Flight dispatchers,2,0.4
7260,Flight engineers,2,0.4
7260,Flight service specialists,2,0.4
7260,Flying instructors,2,0.4
7260,Marine traffic regulators,2,0.4
7260,Railway traffic controllers,2,0.4
7299,Commercial divers,2,0.4
7299,Die setters,2,0.4
7299,Gunsmiths,2,0.4
7299,Locksmiths,2,0.4
7299,Safe and vault servicers,2,0.4
7299,Saw fitters,2,0.4
7310,Concrete finishers,3,0.6
7310,Drywall installers and finishers,3,0.6
7310,Lathers,3,0.6
7310,Plasterers,3,0.6
7310,Tilesetters,3,0.6
7311,Floor covering installers,3,0.6
7311,Glaziers,3,0.6
7311,Painters and decorators (except interior decorators),3,0.6
7311,Roofers,3,0.6
7311,Shinglers,3,0.6
7320,General building maintenance workers and building superintendents,3,0.6
7320,Other repairers and servicers,3,0.6
7320,Pest controllers and fumigators,3,0.6
7320,Residential and commercial installers and servicers,3,0.6
7330,Bus and streetcar drivers,3,0.6
7330,Long-haul transport truck drivers,3,0.6
7330,School bus drivers,3,0.6
7330,Short-haul and local transport truck drivers,3,0.6
7330,Subway train and light rail transit operators,3,0.6
7331,Brakemen,3,0.6
7331,Railway conductors,3,0.6
7331,Railway locomotive engineers,3,0.6
7331,Yard locomotive engineers,3,0.6
7340,"Blasters - surface mining, quarrying and construction",3,0.6
7340,"Drillers - surface mining, quarrying and construction",3,0.6
7340,Heavy equipment operators,3,0.6
7340,Printing press operators,3,0.6
7410,Couriers and messengers,4,0.8
7410,Letter carriers,4,0.8
7410,Mail sorters,4,0.8
7410,Mailroom clerks,4,0.8
7420,Air transport ramp attendants,4,0.8
7420,Automotive and heavy truck and equipment parts installers and servicers,4,0.8
7420,"Deck crew, water transport",4,0.8
7420,Engine room crew - water transport,4,0.8
7420,Gas maintenance workers,4,0.8
7420,Public works maintenance equipment operators and related workers,4,0.8
